Datum;Konto;Typ av transaktion;Värdepapper/beskrivning;Antal;Kurs;Belopp;Courtage;Valuta;ISIN
2019-09-12;ISK - Aktier;Köp;Starbreeze B;800;1,31;-1049,00;3,00;SEK;SE0005992831
2019-02-12;ISK - Aktier;Köp;Starbreeze B;1500;1,25;-1883,00;5,00;SEK;SE0005992831
2019-02-06;ISK - Aktier;Sälj;Starbreeze B;-1600;1,21;1929,00;5,00;SEK;SE0005992831
2019-02-06;ISK - Aktier;Köp;Starbreeze B;1600;0,95;-1524,00;4,00;SEK;SE0005992831
2019-01-24;ISK - Aktier;Köp;Starbreeze B;1000;0,76;-764,00;2,00;SEK;SE0005992831
2018-12-04;ISK - Aktier;Sälj;Starbreeze B;-5800;0,88;5062,00;13,00;SEK;SE0005992831
2018-12-04;ISK - Aktier;Köp;Starbreeze B;3000;0,82;-2454,00;6,00;SEK;SE0005992831
2018-12-04;ISK - Aktier;Köp;Starbreeze B;2000;0,82;-1644,00;4,00;SEK;SE0005992831
2018-12-04;ISK - Aktier;Köp;Starbreeze B;750;0,74;-556,00;1,00;SEK;SE0005992831
2018-12-03;ISK - Aktier;Köp;Starbreeze B;1800;0,59;-1070,00;3,00;SEK;SE0005992831
2018-12-03;ISK - Aktier;Köp;Starbreeze B;1000;0,85;-852,00;2,00;SEK;SE0005992831
2018-11-14;ISK - Aktier;Köp;Starbreeze B;100;5,32;-533,00;1,00;SEK;SE0005992831
2018-10-17;ISK - Aktier;Köp;Starbreeze B;200;6,95;-1393,00;3,00;SEK;SE0005992831
2018-09-26;ISK - Aktier;Köp;Starbreeze B;300;8,26;-2477,00;-;SEK;SE0005992831
2018-08-17;ISK - Aktier;Köp;Starbreeze B;515;8,79;-4527,00;-;SEK;SE0005992831
2018-06-18;ISK - Aktier;Köp;Starbreeze B;220;9,21;-2026,00;-;SEK;SE0005992831
2018-06-13;ISK - Aktier;Köp;Starbreeze B;94;10,60;-996,00;-;SEK;SE0005992831
2018-06-12;ISK - Aktier;Köp;Starbreeze B;42;12,58;-528,00;-;SEK;SE0005992831
2018-06-12;ISK - Aktier;Köp;Starbreeze B;5;12,88;-64,00;-;SEK;SE0005992831
2018-06-12;ISK - Aktier;Köp;Starbreeze B;80;13,88;-1110,00;-;SEK;SE0005992831
2018-06-07;ISK - Aktier;Köp;Starbreeze B;35;15,23;-533,00;-;SEK;SE0005992831
2018-05-22;ISK - Aktier;Köp;Starbreeze B;110;13,73;-1510,00;-;SEK;SE0005992831
