Datum;Konto;Typ av transaktion;Värdepapper/beskrivning;Antal;Kurs;Belopp;Courtage;Valuta;ISIN
2019-09-25;ISK - Aktier;Köp;BillerudKorsnäs;60;103,20;-6207,00;15,00;SEK;SE0000862997
2019-09-25;ISK - Aktier;Köp;SAAB B;7;275,20;-1931,00;5,00;SEK;SE0000112385
2019-09-25;ISK - Aktier;Köp;Volvo B;20;133,10;-2669,00;7,00;SEK;SE0000115446
2019-09-23;ISK - Aktier;Sälj;Avanza Zero;-46,5334;235,96;10980,02;-;SEK;SE0001718388
2019-09-18;ISK - Aktier;Köp;BillerudKorsnäs;21;106,00;-2232,00;6,00;SEK;SE0000862997
2019-09-12;ISK - Aktier;Köp;Starbreeze B;800;1,31;-1049,00;3,00;SEK;SE0005992831
2019-09-12;ISK - Aktier;Köp;SAAB B;17;296,90;-5060,00;13,00;SEK;SE0000112385
2019-09-12;ISK - Aktier;Köp;Volvo B;40;143,25;-5744,00;14,00;SEK;SE0000115446
2019-09-11;ISK - Aktier;Sälj;Boliden;-30;243,35;7283,00;18,00;SEK;SE0012455673
2019-09-11;ISK - Aktier;Sälj;Stora Enso R;-57;119,90;6817,00;17,00;SEK;FI0009007611
2019-09-10;ISK - Aktier;Köp;Xspray Pharma;26;68,62;-1788,00;4,00;SEK;SE0009973563
2019-09-10;ISK - Aktier;Köp;Enorama Pharma;50;53,50;-2682,00;7,00;SEK;SE0008216329
2019-09-10;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;4500,00;-;SEK;-
2019-08-21;ISK - Aktier;Köp;SAAB B;10;277,10;-2778,00;7,00;SEK;SE0000112385
2019-08-21;ISK - Aktier;Köp;Volvo B;18;130,10;-2348,00;6,00;SEK;SE0000115446
2019-08-20;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;5000,00;-;SEK;-
2019-08-07;ISK - Aktier;Köp;Volvo B;50;135,60;-6797,00;17,00;SEK;SE0000115446
2019-08-06;ISK - Aktier;Köp;Boliden;15;203,45;-3060,00;8,00;SEK;SE0012455673
2019-08-06;ISK - Aktier;Sälj;Precise Biometrics;-1485;1,91;2823,00;7,00;SEK;SE0001823303
2019-08-06;ISK - Aktier;Köp;Stora Enso R;30;100,40;-3020,00;8,00;SEK;FI0009007611
2019-08-05;ISK - Aktier;Sälj;Enorama Pharma;-50;97,70;4873,00;12,00;SEK;SE0008216329
2019-07-29;ISK - Aktier;Sälj;Enorama Pharma;-70;75,00;5237,00;13,00;SEK;SE0008216329
2019-07-17;ISK - Aktier;Köp;Stora Enso R;27;106,70;-2888,00;7,00;SEK;FI0009007611
2019-07-17;ISK - Aktier;Sälj;Stora Enso A;-21;137,00;2870,00;7,00;SEK;FI0009007603
2019-07-16;ISK - Aktier;Köp;Stora Enso A;21;138,50;-2916,00;7,00;SEK;FI0009007603
2019-07-16;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;3000,00;-;SEK;-
